name,type,location,lon,lat,year_founded,owner_publisher,pages,language,printing_location,printed,printed_caveat,distributed,comment
Sin Taung Gyi Sarpay (2 branches),top distributor,Yangon,96.156831,16.783656,,,,,,,,,
Thidar Sarpay,top distributor,Yangon,96.156831,16.783656,,,,,,,,,
Nilar Sarpay,top distributor,Yangon,96.156831,16.783656,,,,,,,,,
Khing Zin Oo Sarpay,top distributor,Yangon,96.156831,16.783656,,,,,,,,,
Tin Soe Sarpay,significant distributor,Yangon,96.156831,16.783656,,,,,,,,,
Nan Oo Sarpay,significant distributor,Yangon,96.156831,16.783656,,,,,,,,,
Soe Aung Sarpay,significant distributor,Yangon,96.156831,16.783656,,,,,,,,,
Kyaymon (The Mirror),state daily,Yangon,96.156831,16.783656,1957,MOI's News & Periodicals Enterprise,32,Myanmar,,190000,,75000,
Myanma Alinn,state daily,Yangon,96.156831,16.783656,1914,MOI's News & Periodicals Enterprise,32,Myanmar,,140000,,70000,
The Global New Light of Myanmar,state daily,Yangon,96.156831,16.783656,1914,joint venture of the MOI's News & Periodicals Enterprise (51%) & Global Direct Link (49%),16,English,,12000,,,
Myawaddy Daily,military daily,Yangon,96.156831,16.783656,2011,Tatmadaw's (military) Public Relations & Psychological Warfare Department,,Myanmar,,95000,,,
Standard Time Daily,private daily,Yangon,96.156831,16.783656,2013,Three Friends Construction Co Ltd,28,Myanmar,Myanmar Times,80000,"approximately 60,000 - 70,000",,
Daily Eleven,private daily,Yangon,96.156831,16.783656,2013,Eleven Media Group Co Ltd,32,Myanmar,in-house,65000,"approximately 60,000 - 70,000",,since 2005 also publishes Weekly Eleven Journal
7Day Daily,private daily,Yangon,96.156831,16.783656,2013,Information Matrix Co Ltd,32,Myanmar,in-house,100000,"approximately 40-50,000",,
Democracy Today,private daily,Yangon,96.156831,16.783656,2014,Shwe Than Lwin Co Ltd,32,Myanmar,The Myawaddy,35000,"approximately 30,000 - 40,000",,
The Voice Daily,private daily,Yangon,96.156831,16.783656,2013,Living Colour Co Ltd,32,Myanmar,in-house,4000,"approximately 10-15,000",,
The Myanmar Times,private daily,Yangon,96.156831,16.783656,2015,Myanmar Consolidated Media,28,English,in-house,3000,approximately 3000,,9000 copies of its weekly Myanmar language journal printed
